id,supplier_id,buyer_org_id,deal_id,rating,title,comment,verified_purchase,response,response_at,responded_by,helpful_count,created_by,created_at,updated_at
a844c498-b172-492d-be51-bee1dc821275,3969643f-066c-4899-9665-45657442ebf6,300d8077-6154-4f45-bfc2-87f94f69afbd,038ba7f0-64d9-4c9f-ad73-61adc0408494,5,Best supplier we've worked with,Premium quality lithium compounds. Technical support is excellent. ESG documentation is thorough. Great long-term partnership.,true,,,,6,39412102-5821-4160-8cc0-601db9d85d1a,2025-01-07T05:38:30.433Z,2025-12-29T05:38:30.433Z
64dc8665-8cd4-49ae-a81b-fee435962a8b,3969643f-066c-4899-9665-45657442ebf6,300d8077-6154-4f45-bfc2-87f94f69afbd,,4,Meets specifications,Product meets all our requirements. Documentation is complete. Would recommend with minor reservations.,true,Thank you for your feedback. We appreciate your business.,2025-12-26T05:38:30.433Z,,33,39412102-5821-4160-8cc0-601db9d85d1a,2025-08-29T05:38:30.433Z,2025-12-27T05:38:30.433Z
6099f881-3807-48af-b0cb-89c1ca75699b,3969643f-066c-4899-9665-45657442ebf6,300d8077-6154-4f45-bfc2-87f94f69afbd,c55d9324-a837-488f-8d94-a6a3e687e5bd,5,Reliable and professional,Product exceeds purity requirements. Communication is excellent. Logistics are well-managed. Would definitely order again.,false,,,,6,39412102-5821-4160-8cc0-601db9d85d1a,2025-09-30T05:38:30.433Z,2025-12-10T05:38:30.433Z
a2132562-7c67-403f-a2c2-3905bbeeea26,3969643f-066c-4899-9665-45657442ebf6,300d8077-6154-4f45-bfc2-87f94f69afbd,,3,Mixed experience,Quality is acceptable but not exceptional. Communication could be better. Average supplier overall.,true,Thank you for your feedback. We appreciate your business.,,,28,39412102-5821-4160-8cc0-601db9d85d1a,2025-12-01T05:38:30.433Z,2025-12-09T05:38:30.433Z
3e6b76fa-6e57-4cd8-9a18-dae0c43d0f25,3969643f-066c-4899-9665-45657442ebf6,300d8077-6154-4f45-bfc2-87f94f69afbd,725ebe54-b887-4909-984a-13d397b51c51,3,Mixed experience,Quality is acceptable but not exceptional. Communication could be better. Average supplier overall.,true,Thank you for your feedback. We appreciate your business.,,,23,39412102-5821-4160-8cc0-601db9d85d1a,2025-01-10T05:38:30.433Z,2025-12-17T05:38:30.433Z
ba1b1ca5-d98b-4f94-8ee6-0269d7088084,3969643f-066c-4899-9665-45657442ebf6,300d8077-6154-4f45-bfc2-87f94f69afbd,,4,Meets specifications,Product meets all our requirements. Documentation is complete. Would recommend with minor reservations.,true,,2025-12-14T05:38:30.433Z,,28,39412102-5821-4160-8cc0-601db9d85d1a,2025-01-13T05:38:30.433Z,2025-12-18T05:38:30.433Z
1024461a-7bca-4220-bace-8d5b140f8a33,3969643f-066c-4899-9665-45657442ebf6,300d8077-6154-4f45-bfc2-87f94f69afbd,473484ab-3f04-4a56-aa25-13bb22e37dc2,5,Best supplier we've worked with,Premium quality lithium compounds. Technical support is excellent. ESG documentation is thorough. Great long-term partnership.,true,,2025-12-24T05:38:30.433Z,,24,39412102-5821-4160-8cc0-601db9d85d1a,2025-06-10T05:38:30.433Z,2025-12-14T05:38:30.433Z
49d2dd97-8f43-4a21-85b3-abc12c71c97d,3969643f-066c-4899-9665-45657442ebf6,300d8077-6154-4f45-bfc2-87f94f69afbd,,5,Best supplier we've worked with,Premium quality lithium compounds. Technical support is excellent. ESG documentation is thorough. Great long-term partnership.,true,Thank you for your feedback. We appreciate your business.,,,18,39412102-5821-4160-8cc0-601db9d85d1a,2025-04-06T05:38:30.433Z,2025-12-09T05:38:30.433Z
a4ccc41f-f536-450a-b635-230bf91c999a,3969643f-066c-4899-9665-45657442ebf6,300d8077-6154-4f45-bfc2-87f94f69afbd,,1,Poor quality,Product did not meet specifications. Multiple issues with purity. Would not recommend.,true,,,,8,39412102-5821-4160-8cc0-601db9d85d1a,2025-08-16T05:38:30.433Z,2025-12-27T05:38:30.433Z
ab2ef1b3-4550-45f8-85e8-953825ff95ea,3969643f-066c-4899-9665-45657442ebf6,300d8077-6154-4f45-bfc2-87f94f69afbd,2f9ab6a8-9212-43bd-af24-a4025d63d4a3,5,Best supplier we've worked with,Premium quality lithium compounds. Technical support is excellent. ESG documentation is thorough. Great long-term partnership.,true,,2025-12-25T05:38:30.433Z,,43,39412102-5821-4160-8cc0-601db9d85d1a,2025-07-29T05:38:30.433Z,2025-12-12T05:38:30.433Z
ab274521-d8f5-4be2-8a6c-671531835532,3969643f-066c-4899-9665-45657442ebf6,300d8077-6154-4f45-bfc2-87f94f69afbd,,4,Reliable supplier,Consistent product quality. Good technical support. Lead times can vary during peak seasons.,true,Thank you for your feedback. We appreciate your business.,,,13,39412102-5821-4160-8cc0-601db9d85d1a,2025-01-22T05:38:30.433Z,2025-12-19T05:38:30.433Z
b1ce7041-f90f-4611-b07d-c8d401238625,3969643f-066c-4899-9665-45657442ebf6,300d8077-6154-4f45-bfc2-87f94f69afbd,0f994f39-81c7-419a-a179-214157c7e7fa,4,Reliable supplier,Consistent product quality. Good technical support. Lead times can vary during peak seasons.,true,Thank you for your feedback. We appreciate your business.,,,29,39412102-5821-4160-8cc0-601db9d85d1a,2025-12-29T05:38:30.434Z,2025-12-23T05:38:30.434Z
91cde5e7-2243-4f00-a58d-6449b4eadfbd,3969643f-066c-4899-9665-45657442ebf6,300d8077-6154-4f45-bfc2-87f94f69afbd,d1dc17a9-721d-49a2-b486-d68a53ee8ae9,5,Reliable and professional,Product exceeds purity requirements. Communication is excellent. Logistics are well-managed. Would definitely order again.,true,,,,40,39412102-5821-4160-8cc0-601db9d85d1a,2025-04-30T05:38:30.434Z,2026-01-02T05:38:30.434Z
2f464bc7-d342-412a-9722-82a0cf27f749,3969643f-066c-4899-9665-45657442ebf6,300d8077-6154-4f45-bfc2-87f94f69afbd,,3,Acceptable quality,Product is adequate for our needs. Some inconsistency batch-to-batch. Price is reasonable.,true,,,,27,39412102-5821-4160-8cc0-601db9d85d1a,2025-06-11T05:38:30.434Z,2025-12-09T05:38:30.434Z
c601b296-5c5b-496e-ba1f-e04c1776f594,3969643f-066c-4899-9665-45657442ebf6,300d8077-6154-4f45-bfc2-87f94f69afbd,9cb5a52a-9268-4814-8a66-175f329155db,4,Meets specifications,Product meets all our requirements. Documentation is complete. Would recommend with minor reservations.,true,,2025-12-16T05:38:30.434Z,,4,39412102-5821-4160-8cc0-601db9d85d1a,2025-07-25T05:38:30.434Z,2026-01-02T05:38:30.434Z
