id,supplier_id,name,certificate_type,issuing_body,certificate_number,issue_date,expiry_date,document_url,verified,verified_by,verified_at,created_at
dba2318f-9678-4649-8218-a6a9a35a9176,3969643f-066c-4899-9665-45657442ebf6,ISO 9001:2015,Quality Management,ISO,ISO-LEG-66506,2023-10-21,2026-10-20,https://cdn.lithiumbuy.com/certs/1bff0bd8-6ae4-4110-826e-3d85d097377a.pdf,true,5ef48e22-4893-48d7-add8-e24c0ea0e8de,2025-07-07T05:38:30.446Z,2023-10-21T05:38:30.446Z
b6391411-58b0-4c86-b538-32eeffac9b1c,3969643f-066c-4899-9665-45657442ebf6,ISO 14001:2015,Environmental,ISO,ISO-LEG-66877,2024-02-14,2027-02-13,https://cdn.lithiumbuy.com/certs/65e9d4b9-7d33-4c8c-8d73-2662745ad6ba.pdf,true,ce1be608-802f-4b1b-8362-8be107f8d2d4,2025-11-24T05:38:30.446Z,2024-02-14T05:38:30.446Z
4228115e-7752-4171-a1d2-945080dbf99c,3969643f-066c-4899-9665-45657442ebf6,REACH Compliance,Product Specific,ECHA,ECHA-LEG-82750,2025-03-30,2028-03-29,https://cdn.lithiumbuy.com/certs/df5e1ad6-966d-4a2e-9bec-c962b1f7daab.pdf,true,91708601-43ce-43f5-806e-857bb02eb6b8,2025-07-07T05:38:30.446Z,2025-03-30T05:38:30.446Z
398a6c85-c773-43d1-8e37-a22bebb4f123,3926362c-b964-4f16-bb68-8c63ae3ee25f,ISO 45001:2018,Safety,ISO,ISO-ECL-38999,2023-10-08,2026-10-07,https://cdn.lithiumbuy.com/certs/ef6fac72-c0be-4b1f-946b-3419f345d840.pdf,true,b3ba1df3-da64-410c-98c6-039c9514715a,2025-10-08T05:38:30.446Z,2023-10-08T05:38:30.446Z
f5adc664-5fcd-4b15-8034-787860ae440a,3926362c-b964-4f16-bb68-8c63ae3ee25f,IATF 16949:2016,Industry Specific,IATF,IATF-ECL-49889,2024-09-28,2027-09-28,https://cdn.lithiumbuy.com/certs/633f573b-e7b2-49a3-bf40-7dce92f98323.pdf,true,174d39ba-b67e-4ba6-b38f-0ca2b9193a27,2025-07-12T05:38:30.446Z,2024-09-28T05:38:30.446Z
bd3819e7-f542-43ac-9963-a9a0b2202940,3926362c-b964-4f16-bb68-8c63ae3ee25f,ISO 14001:2015,Environmental,ISO,ISO-ECL-78296,2024-06-19,2027-06-19,https://cdn.lithiumbuy.com/certs/88d4b7f7-aad6-4f3a-b1ef-9e6c81beeda0.pdf,true,d9fc6e0b-aad2-4f9a-9825-023d5b01cb03,2025-10-21T05:38:30.446Z,2024-06-19T05:38:30.446Z
f257b496-a752-4eeb-8ba3-3080c08c7a18,3926362c-b964-4f16-bb68-8c63ae3ee25f,ISO 9001:2015,Quality Management,ISO,ISO-ECL-96426,2025-01-10,2028-01-10,https://cdn.lithiumbuy.com/certs/bd67a9f2-fbe9-4b40-9107-60be802d6a50.pdf,true,c142aaf1-1aeb-4c46-b1c1-9f5f89f58d9d,2025-09-19T05:38:30.446Z,2025-01-10T05:38:30.446Z
48c13534-fc37-4e2f-b52a-5062baa7554f,3926362c-b964-4f16-bb68-8c63ae3ee25f,REACH Compliance,Product Specific,ECHA,ECHA-ECL-81370,2024-05-16,2027-05-16,https://cdn.lithiumbuy.com/certs/8aa11824-c2ab-483d-9fad-90d210814b37.pdf,true,9cc33382-6400-427d-b2d1-95ef37f30288,2025-09-15T05:38:30.447Z,2024-05-16T05:38:30.447Z
acd1b520-8e98-4db5-8bc8-4386cb378f72,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,RoHS Compliance,Product Specific,EU,EU-APE-37878,2023-10-14,2026-10-13,https://cdn.lithiumbuy.com/certs/82a110ed-f83e-49e5-a456-635ef47bbe0f.pdf,true,f248525d-cc53-4c3f-80e6-9d37736b7090,2025-10-24T05:38:30.447Z,2023-10-14T05:38:30.447Z
7cd88688-8157-4487-b697-6975727ed81f,e9169f30-30a8-40fb-9a7b-89eb2e2c7e2b,REACH Compliance,Product Specific,ECHA,ECHA-APE-82679,2023-12-31,2026-12-30,https://cdn.lithiumbuy.com/certs/4796177d-d0dd-45df-a307-06b27e29a313.pdf,true,dd1b618d-9447-4392-a1dd-a882c973f40a,2025-07-23T05:38:30.447Z,2023-12-31T05:38:30.447Z
